Price,Year,Mileage,Make,Model,Usage_level
17700,2015,13807,BUICK,ENCORECONVENIENCE,Low
14555,2014,29535,BUICK,ENCOREFWD,Medium
15239,2015,20681,BUICK,ENCORECONVENIENCE,Low
16400,2015,21694,BUICK,ENCOREFWD,Low
16450,2014,12760,BUICK,ENCOREFWD,Low
15591,2015,29804,BUICK,ENCOREFWD,Medium
17479,2015,15572,BUICK,ENCORECONVENIENCE,Low
18991,2017,5395,BUICK,ENCOREFWD,Low
14975,2014,25352,BUICK,ENCOREPREMIUM,Medium
19327,2017,3339,BUICK,ENCOREFWD,Low
16992,2015,14754,BUICK,ENCOREFWD,Low
17283,2015,13444,BUICK,ENCOREFWD,Low
14523,2014,44773,BUICK,ENCORECONVENIENCE,Medium
15988,2015,24020,BUICK,ENCOREFWD,Low
16995,2015,17116,BUICK,ENCOREFWD,Low
15997,2015,29539,BUICK,ENCORECONVENIENCE,Medium
16969,2015,16939,BUICK,ENCOREFWD,Low
16987,2015,18936,BUICK,ENCOREFWD,Low
4977,2003,175975,BUICK,RENDEZVOUSCX,High
14500,2015,38441,BUICK,ENCORECONVENIENCE,Medium
16995,2015,27385,BUICK,ENCORECONVENIENCE,Medium
16991,2015,22787,BUICK,ENCORECONVENIENCE,Low
16711,2015,16895,BUICK,ENCOREFWD,Low
17000,2015,23977,BUICK,ENCORECONVENIENCE,Low
16998,2015,20357,BUICK,ENCOREFWD,Low
17251,2015,13894,BUICK,ENCOREFWD,Low
13999,2015,53359,BUICK,ENCORECONVENIENCE,Medium
18000,2016,13317,BUICK,ENCOREFWD,Low
18500,2016,11341,BUICK,ENCOREFWD,Low
16500,2015,17360,BUICK,ENCOREFWD,Low
15499,2015,29539,BUICK,ENCORECONVENIENCE,Medium
14500,2014,33420,BUICK,ENCORECONVENIENCE,Medium
17990,2015,6848,BUICK,ENCOREFWD,Low
16495,2014,28457,BUICK,ENCORECONVENIENCE,Medium
16994,2016,21665,BUICK,ENCOREFWD,Low
10900,2014,78000,BUICK,ENCOREFWD,Medium
18498,2016,19302,BUICK,ENCORECONVENIENCE,Low
18990,2016,17864,BUICK,ENCORESPORT,Low
14900,2014,26112,BUICK,ENCORECONVENIENCE,Medium
15230,2015,31101,BUICK,ENCORECONVENIENCE,Medium
14770,2014,48390,BUICK,ENCOREFWD,Medium
14000,2014,41505,BUICK,ENCOREFWD,Medium
13800,2014,67496,BUICK,ENCOREFWD,Medium
14874,2014,31861,BUICK,ENCORECONVENIENCE,Medium
17000,2014,15447,BUICK,ENCOREFWD,Low
18214,2016,15389,BUICK,ENCOREFWD,Low
20996,2016,4603,BUICK,ENCORESPORT,Low
16299,2014,26647,BUICK,ENCORECONVENIENCE,Medium
17488,2015,19274,BUICK,ENCORECONVENIENCE,Low
16999,2015,15390,BUICK,ENCORECONVENIENCE,Low
20499,2017,4120,BUICK,ENCOREFWD,Low
16520,2014,19557,BUICK,ENCOREFWD,Low
16987,2015,25936,BUICK,ENCORECONVENIENCE,Medium
14990,2012,98297,BUICK,VERANO4DR,High
16197,2015,25995,BUICK,ENCOREFWD,Medium
22000,2017,10,ACURA,ILXAUTOMATIC,Low
4995,2004,149872,ACURA,TSXAUTOMATIC,High
8988,2006,131760,ACURA,TLAUTOMATIC,High
21899,2014,52675,ACURA,RDXFWD,Medium
15695,2009,99376,ACURA,RDXAWD,High
23926,2015,37578,ACURA,TLXFWD,Medium
27990,2017,10427,ACURA,TLXFWD,Low
27480,2015,27488,ACURA,RDXFWD,Medium
22426,2013,59129,ACURA,MDXBASE,Medium
24777,2013,62552,ACURA,MDXWITH,Medium
40900,2017,7039,ACURA,MDXFWD,Low
43900,2017,7071,ACURA,MDXFWD,Low
47835,2018,19,ALFA,ROMEO,Low
7450,2007,81506,AUDI,A42007,High
7995,2006,91668,AUDI,A44DR,High
25991,2015,13182,AUDI,A42.0T,Low
9495,2007,115824,AUDI,A64DR,High
27920,2014,43149,AUDI,A62.0T,Medium
37771,2017,9448,AUDI,A4SEASON,Low
22950,2011,47901,AUDI,Q5QUATTRO,Medium
29480,2015,50022,AUDI,Q52.0T,Medium
34000,2015,27940,AUDI,Q52.0T,Medium
43380,2017,7047,AUDI,A62.0T,Low
14995,2009,98858,AUDI,Q7QUATTRO,High
60995,2013,26005,AUDI,A8,Medium
17750,2014,33026,BMW,3,Medium
24997,2015,17250,BMW,3,Low
13995,2009,95060,BMW,3,High
15000,2012,101589,BMW,3,High
9995,2006,112730,BMW,3,High
17899,2011,52085,BMW,5,Medium
21800,2014,53632,BMW,X3XDRIVE28I,Medium
9995,2009,120186,BMW,3,High
7995,2005,115969,BMW,7,High
11899,2007,76438,BMW,3,Medium
15995,2008,68001,BMW,7,Medium
17988,2011,72972,BMW,5,Medium
33476,2016,12655,BMW,X3SDRIVE28I,Low
33964,2015,36020,BMW,5,Medium
27998,2015,57136,BMW,4,Medium
23867,2013,63801,BMW,X5XDRIVE35I,Medium
52991,2016,13158,BMW,X5,Low
49995,2015,17292,BMW,7,Low
59991,2017,15348,BMW,X5XDRIVE35I,Low
7950,2009,88000,BUICK,LACROSSE4DR,High
13888,2011,84151,BUICK,ENCLAVEFWD,High
10395,2009,82119,BUICK,LUCERNE4DR,High
18600,2014,48392,CADILLAC,ATS2.0L,Medium
27998,2014,21176,CADILLAC,CTS,Low
57891,2015,33507,CADILLAC,ESCALADE4WD,Medium
76230,2016,6913,CADILLAC,CTS-V,Low
15000,2016,24799,CHEVROLET,CRUZELT,Low
11995,2013,66280,CHEVROLET,MALIBUECO,Medium
9700,2014,85319,CHEVROLET,CRUZE2LT,High
16900,2016,34614,CHEVROLET,MALIBU,Medium
16497,2016,34546,CHEVROLET,MALIBU,Medium
9555,2015,44092,CHEVROLET,SONICHATCH,Medium
14980,2013,73589,CHEVROLET,EQUINOXFWD,Medium
8000,2009,96919,CHEVROLET,IMPALA4DR,High
2960,2002,110282,CHEVROLET,CAVALIER4DR,High
12500,2013,98228,CHEVROLET,TRAVERSE2LT,High
13908,2008,93005,CHEVROLET,SILVERADO,High
26991,2013,36440,CHEVROLET,SILVERADO,Medium
27995,2014,24387,CHEVROLET,SILVERADO,Low
21995,2011,85486,CHEVROLET,SILVERADO,High
23130,2013,110485,CHEVROLET,SILVERADO,High
31497,2015,22609,CHEVROLET,COLORADOCREW,Low
19995,2013,110045,CHEVROLET,AVALANCHELS,High
18998,2008,102054,CHEVROLET,AVALANCHE4WD,High
37950,2015,59490,CHEVROLET,TAHOE2WD,Medium
30999,2014,63749,CHEVROLET,SILVERADO,Medium
13994,2015,21431,CHRYSLER,200S,Low
15990,2015,30191,CHRYSLER,200LIMITED,Medium
14895,2015,82683,CHRYSLER,200LIMITED,High
17785,2014,33296,CHRYSLER,TOWN,Medium
2988,2005,172053,CHRYSLER,PT,High
15944,2015,45338,CHRYSLER,200S,Medium
20999,2017,6744,DODGE,GRAND,Low
20995,2017,32590,DODGE,GRAND,Medium
7995,2008,122745,DODGE,NITROR/T,High
26433,2016,46864,DODGE,DURANGO2WD,Medium
33900,2015,22850,DODGE,CHALLENGERR/T,Low
35423,2015,26082,DODGE,DURANGO2WD,Medium
14795,2016,42990,FIAT,500XFWD,Medium
9799,2012,37419,FORD,FUSION4DR,Medium
10995,2014,18873,FORD,FOCUSSEDAN,Low
16990,2016,16632,FORD,ESCAPEFWD,Low
16488,2014,16189,FORD,ESCAPESE,Low
8699,2014,98968,FORD,FOCUSHATCHBACK,High
16990,2016,31890,FORD,ESCAPE4WD,Medium
17988,2016,35000,FORD,MUSTANGFASTBACK,Medium
17279,2013,79564,FORD,FUSIONHYBRID,Medium
16978,2015,34408,FORD,TAURUSSEL,Medium
7790,2010,142852,FORD,FLEX4DR,High
33899,2017,20017,FORD,EXPLORERFWD,Low
43995,2013,76928,FORD,F-150SUPERCREW,Medium
54489,2017,7806,FORD,F-150LARIAT,Low
23495,2012,104650,GMC,SIERRA,High
8477,2008,76988,HONDA,CIVIC,Medium
13500,2015,35764,HONDA,FITLX,Medium
15995,2014,30914,HONDA,ACCORD,Medium
16000,2016,11709,HONDA,FITLX,Low
16997,2015,21028,HONDA,ACCORD,Low
7981,2009,116717,HONDA,CIVIC,High
22852,2017,1000,HONDA,CIVIC,Low
9500,2011,82870,HONDA,ACCORD,High
15981,2015,40067,HONDA,ACCORD,Medium
14990,2015,25592,HONDA,FITLX,Medium
15400,2014,27259,HONDA,CIVIC,Medium
15823,2013,60000,HONDA,CIVIC,Medium
16991,2016,4287,HONDA,FITLX,Low
10911,2012,73877,HONDA,ACCORD,Medium
17500,2014,27131,HONDA,ACCORD,Medium
9991,2010,75622,HONDA,ACCORD,Medium
13668,2015,36275,HONDA,FITLX,Medium
17979,2014,40320,HONDA,CIVIC,Medium
6981,2010,88096,HONDA,FIT5DR,High
5995,2007,114551,HONDA,CIVIC,High
17991,2016,4560,HONDA,FITEX,Low
13500,2013,39820,HONDA,CIVIC,Medium
19500,2016,10556,HONDA,ACCORD,Low
19995,2016,7894,HONDA,ACCORD,Low
7990,2012,105424,HONDA,INSIGHTCVT,High
6988,2008,111766,HONDA,CIVIC,High
16900,2014,28276,HONDA,ACCORD,Medium
17481,2015,23468,HONDA,ACCORD,Low
14995,2014,34948,HONDA,ACCORD,Medium
8894,2011,125705,HONDA,CIVIC,High
9900,2013,65254,HONDA,FITAUTOMATIC,Medium
17999,2016,26203,HONDA,ACCORD,Medium
10998,2011,54940,HONDA,FIT5DR,Medium
20000,2016,5724,HONDA,ACCORD,Low
14500,2015,35399,HONDA,FITEX,Medium
18500,2015,11136,HONDA,ACCORD,Low
12650,2012,57289,HONDA,ACCORD,Medium
19490,2016,16990,HONDA,CIVIC,Low
13591,2015,67494,HONDA,ACCORD,Medium
15218,2014,28719,HONDA,ACCORD,Medium
16148,2014,17538,HONDA,ACCORD,Low
17999,2016,13825,HONDA,ACCORD,Low
14400,2015,18882,HONDA,FITLX,Low
21000,2017,9751,HONDA,CIVIC,Low
13995,2014,35774,HONDA,ACCORD,Medium
14826,2014,34843,HONDA,ACCORD,Medium
14522,2014,40538,HONDA,ACCORD,Medium
15496,2015,24111,HONDA,CIVIC,Low
15500,2015,19473,HONDA,FITEX,Low
17998,2015,41251,HONDA,CIVIC,Medium
19998,2016,7856,HONDA,ACCORD,Low
4000,2005,120979,HONDA,CIVIC,High
8990,2013,140312,HONDA,CIVIC,High
10402,2011,67704,HONDA,ACCORD,Medium
21239,2017,5782,HONDA,ACCORD,Low
16995,2014,14701,HONDA,ACCORD,Low
13991,2014,61171,HONDA,ACCORD,Medium
14490,2015,19364,HONDA,FITEX,Low
18984,2015,5525,HONDA,ACCORD,Low
21480,2017,5757,HONDA,CIVIC,Low
9990,2011,63840,HONDA,ACCORD,Medium
15995,2014,29181,HONDA,ACCORD,Medium
15900,2014,27944,HONDA,ACCORD,Medium
8990,2010,48221,HONDA,FIT5DR,Medium
9771,2011,53336,HONDA,FIT5DR,Medium
21995,2017,10228,HONDA,CIVIC,Low
17713,2016,3840,HONDA,FITEX,Low
14000,2013,38382,HONDA,CIVIC,Medium
16397,2014,13704,HONDA,ACCORD,Low
7788,2011,88182,HONDA,CIVIC,High
16491,2015,31835,HONDA,ACCORD,Medium
16000,2014,33349,HONDA,ACCORD,Medium
11000,2010,67314,HONDA,ACCORD,Medium
9480,2010,47396,HONDA,ACCORD,Medium
18975,2016,17208,HONDA,CIVIC,Low
15992,2015,35261,HONDA,CIVIC,Medium
16694,2015,12901,HONDA,ACCORD,Low
11396,2012,87971,HONDA,CIVIC,High
14526,2014,32122,HONDA,ACCORD,Medium
12998,2013,69997,HONDA,CIVIC,Medium
19999,2017,5931,HONDA,ACCORD,Low
16533,2015,20392,HONDA,ACCORD,Low
14500,2016,28620,HONDA,FITLX,Medium
18977,2016,21302,HONDA,CIVIC,Low
17393,2015,13223,HONDA,CIVIC,Low
18326,2015,9782,HONDA,ACCORD,Low
14528,2015,31356,HONDA,FITLX,Medium
15995,2015,25312,HONDA,CIVIC,Medium
8980,2007,43694,HONDA,ACCORD,Medium
10999,2012,58655,HONDA,ACCORD,Medium
14975,2013,24056,HONDA,ACCORD,Low
